Id,STseg,TTseg,ParaId,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
13,13,13,10,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,2,367967,367967,70892,290534,6541,25,289048,8027,21,282306,14769,10,282306,14769,10,267633,29442,5,6,0,0,0,0,0,0,0,0,73,70,73,70,0,0,0,0,23,105,30,44,0,---,??_??_??_?_??_?_??_?_?_?_?_??_?_?_?_??_?_?_??_??_??_?_??_?_?_??_?_?_??_?,1.43,1.17,0.36,3.35,1.25,1.17,2.06,6,0.76
14,14,14,10,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,268624,268624,20666,235013,12945,43,231731,16227,34,219306,28652,16,209844,38114,9,199365,48593,6,6,0,0,0,0,0,0,0,0,109,109,109,109,0,0,0,0,30,144,27,48,0,---,??_??_?_?_??_?_?_??_???_??_??_??_?_??_??_?_??_??_??_??_?_??_???_??_??_?_?,1.4,1.93,0.63,2.97,1.68,1.42,2.29,6.59,0.8
15,15,15,10,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,2,435708,435708,269034,162598,4076,17,161065,5609,13,159252,7422,10,153140,13534,5,148141,18533,3,5,0,0,0,0,0,0,0,0,52,45,52,45,0,0,0,0,28,141,29,44,0,---,??_??_?_?_?_?_??_?_??_?_?_?_??_????_?_??_??_?_?_??_?_?_??_?_??_?_??_?_?,1.32,1.43,0.41,3.04,1.39,1.18,1.98,6.26,0.77
16,16,16,10,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,8,13,0,---,?_???_?_?_??_?_??_?,1.33,1.67,0.07,1.44,0.45,0.52,0.71,4.26,0.66
17,17,17,10,sentence,CREATIVE2_A1,P03_P5,en,zh,P,5,P03,1,426894,426894,157591,255602,13701,44,252980,16323,37,243073,26230,23,233986,35317,16,212644,56659,9,7,0,0,0,0,0,0,0,0,130,123,130,123,0,0,0,0,17,77,22,37,0,---,??_600_??_?_?_??_?_?_?_?_??_??_?_?_?_??_??_??_?_?_????_?,2.29,1.82,1.29,4.76,2.13,2.31,2.82,6.08,0.82
1,1,1,1,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,1,50785724,73982,50711742,72886,1096,5,72403,1579,4,70759,3223,2,69426,4556,1,69426,4556,1,0,0,0,0,0,0,0,0,0,15,13,15,13,0,0,0,0,1,5,2,4,0,---,??_??,2,1,0,2,2.46,3.46,3.46,2.22,0.64
2,2,2,2,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,1,7757,7757,1718,4913,1126,7,3804,2235,4,2619,3420,2,0,6039,0,0,6039,0,0,0,0,0,0,0,0,0,0,17,15,17,15,0,0,0,0,5,27,5,10,0,---,???_??_?_??_?,1.2,1.4,0.59,2.6,2.46,1.93,2.86,4.06,0.7
3,3,3,2,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,3,931357,103513,858711,61819,10827,27,58695,13951,19,53186,19460,12,46739,25907,7,35981,36665,3,7,0,0,0,0,0,0,0,0,111,110,111,110,0,0,0,0,15,73,18,28,0,---,??_?_??_?_?_??_?_??_?_??_?_??_?_??_?_??_??_?,1.33,1.13,0,2.73,1.93,1.79,2.69,5.41,0.74
4,4,4,2,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,3,246750,246750,172792,67023,6935,24,63338,10620,15,61316,12642,12,56224,17734,8,43821,30137,4,9,0,0,0,0,0,0,0,0,79,78,79,78,0,0,0,0,16,91,16,27,0,---,??_?_??_??_??_??_?_??_?_??_?_??_??_?_??_?,1.19,1.5,0.59,2.44,1.03,1.18,1.46,5.92,0.79
5,5,5,2,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,4,693848,693848,141663,529842,22343,72,521567,30618,51,506683,45502,28,493764,58421,20,464858,87327,12,17,0,0,0,0,0,0,0,0,244,249,244,249,0,0,0,0,35,180,44,68,0,---,?_??_?_?_??_?_??_?_??_??_??_?_??_?_??_?_???_?_??_??_?_?_??_??_?_?_???_?_??_?_?_??_?_?_??_??_?_?_???_?_?_??_?_?,1.54,1.51,0.55,3.71,1.88,2,2.57,7.11,0.83
6,6,6,2,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,5,1739919,420780,903901,791120,44898,151,771291,64727,101,730922,105096,42,705683,130335,23,677922,158096,13,25,0,0,0,0,0,0,0,0,556,555,556,555,0,0,0,0,55,325,61,101,0,---,??_?_?_??_?_?_?_??_??_?_??_—_—_?_??_??_????_?_??_???_?_??_??_??_??_?_??_?_?_?_?_??_??_?_???_?_?_?_?_??_????_?_???_???_?_?_?_?_??_??_???_?_?_??_?_??_?_??_??_??_?,2.05,2.09,1.19,6.6,2.48,2.58,3.06,8.02,0.87
7,7,7,3,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,4,119962,119962,96749,19088,4125,15,17337,5876,10,13727,9486,5,10149,13064,2,8097,15116,1,4,0,0,0,0,0,0,0,0,52,51,52,51,0,0,0,0,8,29,4,9,0,---,???_??_??_?,1.75,4.75,1.44,2.75,2.17,2.71,3.33,5.09,0.79
8,8,8,3,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,1,13211,13211,12109,597,505,1,597,505,1,0,1102,0,0,1102,0,0,1102,0,1,0,0,0,0,0,0,0,0,4,6,4,6,0,0,0,0,8,27,6,9,0,---,?_??_?_?_??_?,1.12,2.5,1.28,1.75,0.88,1.61,1.94,4.47,0.69
9,9,9,4,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,1,13716,13716,8217,3090,2409,7,1630,3869,3,0,5499,0,0,5499,0,0,5499,0,1,0,0,0,0,0,0,0,0,24,24,24,24,0,0,0,0,4,14,5,7,0,---,?_?_?_??_?,1.25,1,0.49,1.5,1.37,1.44,1.92,3.86,0.71
10,10,10,4,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,4,291638,291638,51541,219258,20839,74,209278,30819,49,197327,42770,33,175253,64844,18,151588,88509,10,17,0,0,0,0,0,0,0,0,250,272,250,272,0,0,0,0,27,140,31,48,0,---,?_?_?_??_?_??_?_??_??_??_?_?_?_?_?_??_?_??_??_??_?_??_??_??_??_??_?_?_??_??_?,1.78,2.11,1.28,4.7,2.47,2.63,3.33,7.25,0.88
11,11,11,4,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,2,115932,115932,86444,24682,4806,22,19913,9575,10,14859,14629,3,14859,14629,3,7888,21600,1,2,0,0,0,0,0,0,0,0,70,73,70,73,0,0,0,0,14,73,14,23,0,---,??_??_?_??_?_??_?_??_?_?_???_?_??_?,1.29,1.71,0.55,2.36,1.61,1.74,2.41,5.62,0.77
12,12,12,4,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,2,161561,161561,92332,63129,6100,27,59145,10084,17,51882,17347,6,46292,22937,2,43022,26207,1,2,0,0,0,0,0,0,0,0,80,83,80,83,0,0,0,0,10,47,8,17,0,---,???_??_???_??_?_??_??_?,1.7,3.2,1.34,4,2.34,2.15,2.6,5.24,0.77
13,13,13,4,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,1,6050,6050,2934,1261,1855,3,550,2566,1,0,3116,0,0,3116,0,0,3116,0,0,0,0,0,0,0,0,0,0,17,19,17,19,0,0,0,0,5,20,5,6,0,---,?_?_?_?_?,1.4,1.4,0.17,1.6,0.82,1.26,1.43,4.16,0.72
14,14,14,4,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,1,105315,105315,12572,78642,14101,35,74091,18652,24,66624,26119,14,55609,37134,7,49319,43424,5,1,0,0,0,0,0,0,0,0,170,171,170,171,0,0,0,0,29,142,25,41,0,---,??_??_??_?_??_?_?_??_??_?_?_??_??_??_??_?_?_??_?_??_??_?_??_??_?,1.28,1.69,1.06,3.79,2.11,2.6,3.2,6.94,0.83
15,15,15,5,sentence,CREATIVE2_A1,P04_P2,en,zh,P,2,P04,2,217806,217806,143410,65163,9233,40,60842,13554,29,51119,23277,13,44693,29703,9,26176,48220,3,9,0,0,0,0,0,0,0,0,160,170,160,170,0,0,0,0,21,107,22,37,0,---,?_?_?_??_??_??_?_???_??_?_??_??_??_?_?_??_??_?_??_??_??_?,1.62,1.86,1.52,5.86,2.46,2.13,2.88,6.7,0.85
1,1,1,6,paragraph,CREATIVE2_A1,P04_P5,en,zh,P,5,P04,1,23736424,2056,23734368,1018,1038,1,1018,1038,1,1018,1038,1,0,2056,0,0,2056,0,0,0,0,0,0,0,0,0,0,20,19,20,19,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1.33,1.74,2.99,2.99,2.92,0.6
2,2,2,7,paragraph,CREATIVE2_A1,P04_P5,en,zh,P,5,P04,2,64879,64879,55652,6805,2422,8,5246,3981,4,3980,5247,2,2385,6842,1,0,9227,0,1,0,0,0,0,0,0,0,0,26,26,26,26,0,0,0,0,6,28,4,8,0,---,??_???_?_?,1,1.67,1.99,1.67,1.26,2.29,2.99,4.38,0.74
3,3,3,8,paragraph,CREATIVE2_A1,P04_P5,en,zh,P,5,P04,1,50853,50853,39629,8146,3078,9,7764,3460,8,3666,7558,3,0,11224,0,0,11224,0,1,0,0,0,0,0,0,0,0,50,52,50,52,0,0,0,0,11,53,12,18,0,---,?_?_?_??_?_??_??_?_?_??_??_?,1.27,1.18,0.66,4,1.18,1.17,1.68,4.72,0.7
4,4,4,9,paragraph,CREATIVE2_A1,P04_P5,en,zh,P,5,P04,2,3473372,945316,48307,3381694,43371,171,3366103,58962,131,3333963,91102,82,3287963,137102,51,3222262,202803,29,30,0,0,0,0,0,0,0,0,590,609,590,609,0,0,0,0,131,629,125,199,0,---,?_??_??_?_?_??_?_?_??_?_?_?_?_?_??_??_?_?_??_?_?_??_??_?_?_?_?_?_?_??_?_?_?_??_Emotiv_??_??_?_?_??_??_?_?_??_??_??_?_????_?_????_??_?_?_?_??_??_??_?_??_??_?_?_??_?_??_?_?_?_??_?_??_?_??_?_?_?_??_?_??_???_?_??_?_??_?_??_?_??_?_?_2017_?_?_??_?_?_??_??_??_??_?_??_?_?_?_??_?_???_??_?_??_??_???_?_??_?_?_?_??_?_?_??_??_??_?,1.46,1.85,0.93,4.03,1.7,1.65,2.23,8.53,0.82
5,5,5,10,paragraph,CREATIVE2_A1,P04_P5,en,zh,P,5,P04,2,1389868,1179052,225036,1110332,54500,168,1089176,75656,115,1052486,112346,62,1021425,143407,39,993524,171308,30,40,0,0,0,0,0,0,0,0,790,787,790,787,0,0,0,0,107,502,109,172,0,---,??_??_??_?_??_?_?_????_?_??_?_?_??_??_?_?_??_??_??_?_??_??_?_?_?_??_?_??_??_?_??_?_??_???_??_?_??_??_?_??_??_??_?_?_??_??_???_?_??_?_??_?_?_??_?_?_?_??_?_??_?_?_??_??_?_??_??_?_??_???_?_??_?_??_?_??_?_??_?_?_??_??_??_?_?_?_?_?_??_?_?_?_?_?_?_?_?_??_???_?_?_?_?_?_????_?_?_????_?,1.37,1.72,0.75,2.87,2.12,1.98,2.67,8.1,0.81
1,1,1,1,paragraph,CREATIVE2_A1,P05_P2,en,zh,P,2,P05,1,34579,34579,33306,1273,0,2,917,356,1,0,1273,0,0,1273,0,0,1273,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,1,5,2,2,0,---,?_S,2,1,0,2,2.46,3.46,3.46,2.22,0.64
2,2,2,2,paragraph,CREATIVE2_A1,P05_P2,en,zh,P,2,P05,2,974840,739490,52999,864282,57559,169,843125,78716,116,811000,110841,71,761273,160568,35,709728,212113,18,21,0,0,0,0,0,0,0,0,610,627,610,627,0,0,0,0,126,696,132,221,0,---,???_????_?_??_?_??_??_?_?_??_?_?_??_?_??_?_??_????_?_??_?_??_?_??_??_??_??_?_??_?_??_?_??_??_?_??_?_??_?_??_??_??_??_??_?_?_?_??_??_??_??_?_??_?_??_??_??_??_?_??_?_??_?_??_?_??_?_??_?_?_?_???_?_?_??_?_?_??_??_??_?_??_??_??_?_??_—_—_??_??_??_??_??_?_??_??_??_?_?_?_?_??_?_??_??_?_??_??_?_??_??_?_??_—_—_??_??_?_??_?_?_??_??_?_??_?_?_??_??_???_???_?,1.63,1.89,1.11,3.17,1.77,1.9,2.52,8.92,0.85
3,3,3,3,paragraph,CREATIVE2_A1,P05_P2,en,zh,P,2,P05,2,203734,203734,182240,14344,7150,16,11412,10082,9,7242,14252,3,5896,15598,2,0,21494,0,5,0,0,0,0,0,0,0,0,74,78,74,78,0,0,0,0,16,56,12,20,0,---,???_?_??_?_??_?_?_??_??_?_??_?,2,3.38,1.99,3.31,1.93,2.46,2.76,5.71,0.77
4,4,4,4,paragraph,CREATIVE2_A1,P05_P2,en,zh,P,2,P05,3,501273,501273,65655,379096,56522,143,367517,68101,113,332606,103012,63,294895,140723,35,233012,202606,14,25,0,0,0,0,0,0,0,0,709,726,709,726,0,0,0,0,89,436,92,156,0,---,?_??_??_?_??_?_?_??_??_??_?_??_?_??_?_?_??_?_??_??_??_?_??_????_?_????_??_?_?_?_??_??_??_?_??_??_??_?_??_?_?_??_?_?_??_?_??_??_???_?_???_???_?_??_?_?_?_??_???_?_?_?_??_??_?_?_??_???_?_??_??_??_?_??_??_?_??_?_?_??_??_?_??_???_??_??_?_??_?_??_??_?,1.82,2.15,0.93,4.07,2.15,2.48,2.97,8.53,0.86
5,5,5,5,paragraph,CREATIVE2_A1,P05_P2,en,zh,P,2,P05,1,107137,107137,14337,83256,9544,32,78157,14643,19,72071,20729,11,70947,21853,10,57922,34878,5,3,0,0,0,0,0,0,0,0,96,103,96,103,0,0,0,0,21,107,24,40,0,---,?_??_?_??_??_?_??_??_?_???_??_?_??_??_??_?_?_???_?_?_??_?_??_?,1.67,1.76,0.87,6.52,2.35,1.77,2.67,6.7,0.85
1,1,1,6,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1,0.51,1,1,2.92,0.6
2,2,2,7,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,19618,19618,12405,5718,1495,6,5221,1992,5,2044,5169,1,2044,5169,1,0,7213,0,1,0,0,0,0,0,0,0,0,17,17,17,17,0,0,0,0,6,28,3,8,0,---,??_??_???,1.83,4.33,2.99,1.83,1.71,3.16,3.32,4.38,0.74
3,3,3,8,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,46945,46945,44312,1325,1308,2,1325,1308,2,0,2633,0,0,2633,0,0,2633,0,2,0,0,0,0,0,0,0,0,14,13,14,13,0,0,0,0,11,53,14,21,0,---,?_?_?_??_?_??_??_?_??_?_??_??_?_?,2,1.55,1.1,4.64,1.17,1.36,1.7,4.72,0.7
4,4,4,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,16750,16750,4207,10325,2218,5,10325,2218,5,8073,4470,2,6533,6010,1,6533,6010,1,3,0,0,0,0,0,0,0,0,24,20,24,20,0,0,0,0,8,39,10,16,0,---,?_?_??_??_??_?_?_??_??_?,1.62,1.25,1.05,2,2.05,1.54,2.07,4.51,0.71
5,5,5,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,11,15,0,---,?_?_?_?_?_??_??_?_?_??_?,1.5,1.67,0.92,3.42,0.91,0.92,1.32,4.25,0.62
6,6,6,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,209591,209591,66313,127025,16253,56,121591,21687,41,106186,37092,18,98934,44344,13,75200,68078,5,19,0,0,0,0,0,0,0,0,248,257,248,257,0,0,0,0,36,184,36,57,0,---,?_?_?_?_?_?_?_??_?_?_?_??_eMotiv_??_?_?_??_?_?_?_??_??_??_?_??_??_?_?_??_?_????_?_?_??_??_?,1.72,1.94,1.03,7.47,2.04,1.73,2.45,6.98,0.82
7,7,7,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,214388,214388,108616,84656,21116,30,80561,25211,20,73291,32481,10,67998,37774,6,57158,48614,3,8,0,0,0,0,0,0,0,0,195,190,195,190,0,0,0,0,22,99,28,42,0,---,??_??_??_?_?_?_?_??_?_??_?_?_??_?_?_?_???_??_?_??_?_?_?_??_??_??_?_?,1.41,1.36,1.01,5.36,2.22,2.1,2.9,6.23,0.8
8,8,8,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,11461,11461,9051,808,1602,2,0,2410,0,0,2410,0,0,2410,0,0,2410,0,1,0,0,0,0,0,0,0,0,13,12,13,12,0,0,0,0,7,40,8,14,0,---,??_?_??_???_?_??_?_?,1.29,1.29,0.07,1.57,1.07,0.91,1.33,3.67,0.6
9,9,9,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,26832,26832,20108,5861,863,5,5521,1203,4,4844,1880,3,2367,4357,1,0,6724,0,3,0,0,0,0,0,0,0,0,13,10,13,10,0,0,0,0,8,31,8,13,0,---,??_?_?_??_??_??_?_?,1.12,1.25,0.52,3.38,1.68,1.38,2.24,5.03,0.79
10,10,10,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,42910,42910,21914,13251,7745,14,12026,8970,11,6065,14931,3,3668,17328,1,0,20996,0,3,0,0,0,0,0,0,0,0,76,67,76,67,0,0,0,0,11,47,14,28,0,---,????_?_2017_?_?_??_??_?_??_??_??_??_?_?,1.27,1,0.59,4.27,2.1,1.54,2.63,5.93,0.87
11,11,11,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,90623,90623,42781,38823,9019,20,37509,10333,17,32670,15172,10,25014,22828,4,22962,24880,3,6,0,0,0,0,0,0,0,0,128,122,128,122,0,0,0,0,17,94,20,38,0,---,????_?_??_????_?_??_?_??_??_?_?_???_??_?_???_?_??_??_?_?,1.47,1.47,1.41,2.24,1.77,1.59,2.26,5.94,0.8
12,12,12,9,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,25484,25484,21853,0,3631,0,0,3631,0,0,3631,0,0,3631,0,0,3631,0,2,0,0,0,0,0,0,0,0,29,28,29,28,0,0,0,0,10,48,10,16,0,---,?_??_??_?_?_?_??_??_??_?,1.3,1.4,0.06,1.5,0.47,0.84,0.92,4.25,0.64
13,13,13,10,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,13526,13526,4754,7273,1499,3,6922,1850,2,6330,2442,1,6330,2442,1,6330,2442,1,2,0,0,0,0,0,0,0,0,16,17,16,17,0,0,0,0,23,105,27,40,0,---,??_??_??_?_?_?_??_?_?_?_??_?_?_?_??_?_??_??_??_?_??_?_??_?_?_??_?,1.35,1.35,0.14,3.13,0.84,1,1.37,6,0.76
14,14,14,10,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,150792,150792,37439,98081,15272,41,95456,17897,34,82627,30726,16,74804,38549,10,58651,54702,4,6,0,0,0,0,0,0,0,0,185,181,185,181,0,0,0,0,30,144,29,52,0,---,??_??_?_?_??_?_??_??_??_?_???_??_??_??_?_??_??_?_??_??_??_?_?_??_??_???_??_??_?,1.87,2.13,1.02,4.03,2.14,1.79,2.64,6.59,0.8
15,15,15,10,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,26513,26513,22158,3390,965,3,2663,1692,1,2663,1692,1,2663,1692,1,0,4355,0,2,0,0,0,0,0,0,0,0,10,11,10,11,0,0,0,0,28,141,25,36,0,---,??_??_?_?_?_?_??_??_?_?_?_??_??_?_??_?_?_??_?_?_??_?_??_?_?,1.64,1.93,0.86,3.04,1.51,1.31,1.89,6.26,0.77
16,16,16,10,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,2,62740,62740,55629,4903,2208,6,4257,2854,4,2845,4266,2,0,7111,0,0,7111,0,2,0,0,0,0,0,0,0,0,20,19,20,19,0,0,0,0,9,35,8,14,0,---,??_???_?_?_??_?_??_?,1.33,1.67,0.07,1.44,0.45,1.97,2.05,4.26,0.66
17,17,17,10,sentence,CREATIVE2_A1,P05_P5,en,zh,P,5,P05,1,16563,16563,10833,4684,1046,4,4684,1046,4,2570,3160,1,2570,3160,1,0,5730,0,2,0,0,0,0,0,0,0,0,10,12,10,12,0,0,0,0,17,77,16,28,0,---,?_??_?_??_600_??_?_?_??_?_?_?_?_???_??_?,1.65,1.82,1.49,2.24,1.52,1.68,2.55,6.08,0.82
1,1,1,1,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,2,796854,84115,796854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,5,1,1,0,---,?,1,1,0,1,0.46,1.14,1.14,2.22,0.64
2,2,2,2,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,1,33449,33449,19068,12053,2328,12,10122,4259,7,6556,7825,3,3739,10642,1,0,14381,0,0,0,0,0,0,0,0,0,0,33,30,33,30,0,0,0,0,5,27,7,12,0,---,???_??_?_?_?_??_?,1.4,1,1.11,3.2,1.71,1.93,2.43,4.06,0.7
3,3,3,2,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,184987,184987,129049,49628,6310,22,46870,9068,14,39011,16927,3,39011,16927,3,35100,20838,2,8,0,0,0,0,0,0,0,0,77,69,77,69,0,0,0,0,15,73,22,36,0,---,??_?_??_??_?_?_??_?_?_??_??_?_??_?_??_?_??_????_?_??_?_?,1.67,1.13,0,2.2,1.13,1.06,1.46,5.41,0.74
4,4,4,2,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,2,134632,134632,45654,84004,4974,29,81545,7433,23,73064,15914,11,69123,19855,8,47258,41720,2,5,0,0,0,0,0,0,0,0,64,60,64,60,0,0,0,0,16,91,18,30,0,---,??_??_?_??_??_??_?_??_?_??_?_?_??_?_??_??_??_?,1.44,1.38,0.4,2.56,2.25,1.56,2.89,5.92,0.79
5,5,5,2,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,5,538603,538603,256602,271260,10741,56,266876,15125,45,252695,29306,25,240573,41428,15,226186,55815,10,15,0,0,0,0,0,0,0,0,133,131,133,131,0,0,0,0,35,180,52,76,0,---,??_?_??_?_?_??_??_??_?_?_?_??_??_??_?_??_?_?_??_??_?_??_?_??_??_?_?_??_?_??_?_?_??_?_??_?_?_?_?_??_?_?_?_???_??_?_?_?_?_??_?_?,1.8,1.34,0.58,3.94,1.9,1.72,2.56,7.11,0.83
6,6,6,2,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,885586,684007,157918,700995,26673,136,686804,40864,99,658172,69496,56,626547,101121,32,590633,137035,19,20,0,0,0,0,0,0,0,0,286,283,286,283,0,0,0,0,55,325,67,104,0,---,??_?_?_?_?_??_?_??_?_?_??_?_?_??_??_?_??_??_??_?_??_?_?_??_?_??_?_?_?_??_??_??_?_??_??_??_??_??_?_??_??_?_?_??_?_?_?_??_??_?_??_??_??_?_?_500_?_??_?_??_?_?_?_??_?_????_?,1.76,1.58,1.32,4.96,2.03,2.41,2.94,8.02,0.87
7,7,7,3,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,2,173445,173445,153726,15776,3943,18,13113,6606,11,7617,12102,3,4811,14908,1,0,19719,0,2,0,0,0,0,0,0,0,0,38,37,38,37,0,0,0,0,8,29,8,14,0,---,?_??_???_?_??_?_??_?,1.25,1.5,0.78,1.5,2.31,2.46,3.08,5.09,0.79
8,8,8,3,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,210227,210227,158023,44141,8063,32,39355,12849,20,30793,21411,8,25430,26774,4,18980,33224,2,5,0,0,0,0,0,0,0,0,83,81,83,81,0,0,0,0,8,27,6,13,0,---,???_??_?_????_?_?,2.5,3.75,1.64,3.12,2.89,3.03,3.26,4.47,0.69
9,9,9,4,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,115950,115950,95014,16537,4399,20,13317,7619,12,7793,13143,4,5017,15919,2,0,20936,0,6,0,0,0,0,0,0,0,0,58,51,58,51,0,0,0,0,4,14,9,14,0,---,?_?_?_??_?_??_??_??_?,2.25,1,0.49,4.25,2.67,1.59,2.67,3.86,0.71
10,10,10,4,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,5,964627,562419,476281,466140,22206,118,452951,35395,83,430657,57689,53,405223,83123,33,381645,106701,25,17,0,0,0,0,0,0,0,0,299,308,299,308,0,0,0,0,27,140,41,61,0,---,?_?_?_?_?_??_?_?_??_?_??_??_?_??_?_?_?_??_?_???_?_??_?_??_??_?_??_?_??_?_?_??_??_?_??_?_?_?_???_??_?,2.19,1.52,1.05,6.15,2.45,2.43,3.05,7.25,0.88
11,11,11,4,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,1,294749,294749,28887,259405,6457,31,256650,9212,24,250156,15706,14,239626,26236,6,237156,28706,5,3,0,0,0,0,0,0,0,0,56,60,56,60,0,0,0,0,14,73,14,22,0,---,??_?_?_??_?_?_??_?_?_??_???_?_??_?,1.5,1.71,0.61,3.21,1.58,1.57,2.28,5.62,0.77
12,12,12,4,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,74527,74527,70750,2893,884,6,1784,1993,3,0,3777,0,0,3777,0,0,3777,0,3,0,0,0,0,0,0,0,0,11,13,11,13,0,0,0,0,10,47,10,18,0,---,???_?_?_??_?_??_?_???_??_?,1.1,1.2,1.34,3.1,1.98,1.63,2.5,5.24,0.77
13,13,13,4,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,93035,93035,68983,18043,6009,17,17383,6669,15,12913,11139,8,4093,19959,2,0,24052,0,2,0,0,0,0,0,0,0,0,64,63,64,63,0,0,0,0,5,20,5,9,0,---,?_??_??_??_?,2.2,2.2,2.08,2.6,2.06,2.21,2.9,4.16,0.72
14,14,14,4,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,3,395425,395425,126186,255410,13829,78,245434,23805,52,228529,40710,29,216399,52840,20,191550,77689,12,19,0,0,0,0,0,0,0,0,178,166,178,166,0,0,0,0,29,142,34,54,0,---,?_??_?_?_??_?_???_??_?_???_?_??_?_??_??_?_?_??_?_??_??_?_??_?_?_??_??_?_??_?_?_??_??_?,1.48,1.62,0.89,5.28,2.58,1.93,2.96,6.94,0.83
15,15,15,5,sentence,CREATIVE2_A1,P06_P2,en,zh,P,2,P06,4,446577,446577,244925,191818,9834,42,187183,14469,30,179850,21802,19,166485,35167,11,157472,44180,8,12,0,0,0,0,0,0,0,0,105,113,105,113,0,0,0,0,21,107,26,39,0,---,???_??_??_?_?_?_??_?_?_???_?_?_??_?_??_?_??_?_???_?_?_?_?_?_?_?,2.19,1.76,0.91,4.14,2.31,1.63,2.84,6.7,0.85
