Id,STseg,TTseg,ParaId,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
15,15,15,5,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,2,444474,222834,331756,107967,4751,28,104546,8172,19,99291,13427,11,99291,13427,11,88457,24261,8,3,0,0,0,0,0,0,0,0,54,73,54,73,0,0,0,0,21,107,17,28,0,---,???_??_?_??_??_?_?_?_??_?_???_?_?_??_?_??_?,1.38,2.14,1.24,5.19,2.42,2.31,3.13,6.7,0.85
1,1,1,6,paragraph,CREATIVE2_A1,P01_P5,en,zh,P,5,P01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1,0.51,1,1,2.92,0.6
2,2,2,7,paragraph,CREATIVE2_A1,P01_P5,en,zh,P,5,P01,2,541797,11187,530610,11187,0,3,11187,0,3,11187,0,3,11187,0,3,0,11187,0,1,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,6,28,4,7,0,---,??_?_??_?,1,1.67,1.27,2,2.03,1.88,2.72,4.38,0.74
3,3,3,8,paragraph,CREATIVE2_A1,P01_P5,en,zh,P,5,P01,1,40398,40398,40385,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,1,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,11,53,12,20,0,---,?_?_?_??_??_?_????_?_??_??_?_?,1.36,1.36,0.73,3.45,0.89,0.66,1.27,4.72,0.7
4,4,4,9,paragraph,CREATIVE2_A1,P01_P5,en,zh,P,5,P01,2,1240442,1240442,77283,1141794,21365,153,1130301,32858,123,1094263,68896,70,1074056,89103,54,1011873,151286,37,56,0,0,0,0,0,0,0,0,468,468,468,468,0,0,0,0,131,629,137,219,0,---,?_??_????_?_??_?_?_?_?_?_?_??_??_?_?_??_?_?_?_?_?_?_?_?_shofar_??_eMotiv_??_?_??_?_??_?_??_?_?_?_??_?_?_??_?_??_????_?_??_??_??_??_?_??_?_?_?_?_??_?_?_?_??_?_??_??_?_?_??_?_Ipod_??_?_?_???_?_?_?_??_?_??_?_??_?_??_?_??_?_??_?_??_???_?_??_?_?_?_??_?_?_?_?_2017_?_?_??_?_??_??_??_??_?_?_?_?_??_?_?_??_?_???_?_?_????_?_??_??_??_?_??_?_?_??_????_?_?_??_??_?_?,1.53,1.56,0.82,4.74,1.84,1.57,2.31,8.53,0.82
5,5,5,10,paragraph,CREATIVE2_A1,P01_P5,en,zh,P,5,P01,2,946785,946785,77036,860482,9267,120,849623,20126,91,822032,47717,52,805057,64692,40,750000,119749,24,26,0,0,0,0,0,0,0,0,309,323,309,323,0,0,0,0,107,502,99,155,0,---,??_??_??_?_?_??_?_?_?_???_?_?_?_??_?_??_??_??_?_??_?_??_?_?_??_?_??_??_?_?_??_?_?_??_???_??_??_??_?_??_?_??_?_??_??_??_?_?_??_??_???_?_??_?_?_?_?_??_??_?_?_?_?_??_?_??_?_??_??_??_?_?_??_??_?_?_?_?_???_?_?_??_?_??_?_?_?_?_??_??_???_?_?_?_?_?_?_????_?,1.36,1.75,0.74,2.86,1.54,1.5,2.04,8.1,0.81
1,1,1,1,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,?,1,1,0,1,0.46,1.14,1.14,2.22,0.64
2,2,2,2,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,1707605,21424,1686181,20122,1302,7,19696,1728,6,17586,3838,3,14439,6985,1,14439,6985,1,0,0,0,0,0,0,0,0,0,19,17,19,17,0,0,0,0,5,27,5,11,0,---,???_??_?_???_?,1.2,1.4,0.59,2.4,2.06,1.93,2.54,4.06,0.7
3,3,3,2,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,369466,107886,261580,98493,9393,39,95467,12419,31,86366,21520,18,77201,30685,11,50708,57178,3,4,0,0,0,0,0,0,0,0,147,141,147,141,0,0,0,0,15,73,21,34,0,---,??_?_?_??_??_??_??_?_?_??_?_?_??_?_??_?_??_???_?_??_?,1.6,1.13,0,2.4,1.28,1.23,1.83,5.41,0.74
4,4,4,2,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,106373,106373,26627,67923,11823,63,62232,17514,49,41964,37782,20,26651,53095,8,0,79746,0,3,0,0,0,0,0,0,0,0,159,152,159,152,0,0,0,0,16,91,18,33,0,---,??_?_??_??_??_??_?_??_??_?_??_??_?_??_?_??_????_?,1.31,1.38,0.4,2.75,1.64,1.22,2.03,5.92,0.79
