Id,STseg,SegId,Study,Session,Order,SL,TL,Task,Task2,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
4,4,4,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,5,1023459,608363,725047,289389,9023,65,282547,15865,48,264136,34276,24,257859,40553,20,234280,64132,12,19,0,0,0,0,0,0,0,0,139,107,139,107,0,0,0,0,25,133,19,33,0,---,??_??_??_??_?_??_?_?_???_?_??_??_?_??_??_??_??_?_?,1.4,2.84,1.8,4.28,2.37,2.56,3.32,6.85,0.82
5,5,5,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,3,389180,389180,162165,219482,7533,39,215464,11551,28,205256,21759,13,199786,27229,9,187231,39784,5,6,0,0,0,0,0,0,0,0,90,70,90,70,0,0,0,0,12,67,11,21,0,---,?_??_???_??_??_??_?_??_??_??_?,1.08,1.33,0.52,3.08,1.72,1.44,2.52,5.75,0.79
6,6,6,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,5,821273,603384,175236,634758,11279,79,627464,18573,60,608296,37741,34,599939,46098,28,567847,78190,18,30,0,0,0,0,0,0,0,0,213,131,213,131,0,0,0,0,49,269,50,83,0,---,??_??_??_??_??_?_????_??_?_??_?_?_??_??_?_?_?_?_?_?_???_?_???_?_??_??_??_??_?_??_??_?_?_??_?_??_?_??_?_??_?_??_??_??_?_??_??_?_??_?,2.31,2.76,1.49,8.2,2.56,2.84,3.29,7.98,0.86
7,7,7,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,3,655458,655458,241972,407063,6423,44,403716,9770,35,391860,21626,19,384496,28990,14,363843,49643,7,11,0,0,0,0,0,0,0,0,132,80,132,80,0,0,0,0,41,226,31,53,0,---,??_??_??_??_??_?_???_??_???_:_??_??_?_??_?_??_?_???_??_?_?_?_?_??_?_??_?_??_?_??_?,1.32,2.37,1.3,2.78,2.59,2.34,3.11,7.77,0.86
8,8,8,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,1,321334,321334,24111,295099,2124,21,293626,3597,17,287382,9841,8,285950,11273,7,282656,14567,6,9,0,0,0,0,0,0,0,0,61,28,61,28,0,0,0,0,23,123,20,34,0,---,??_??_??_????_?_??_?_??_??_?_??_?_?_?_?_?_??_??_??_?,1.57,1.96,1.16,2.78,2.3,2.34,3.03,6.97,0.85
9,9,9,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,1,561983,239565,84069,471311,6603,32,467608,10306,22,461182,16732,13,454609,23305,9,437940,39974,5,8,0,0,0,0,0,0,0,0,110,77,110,77,0,0,0,0,23,124,22,34,0,---,??_?_??_?_????_??_?_?_??_?_:_??_??_?_?_??_?_?_?_??_?_?,1.52,1.87,0.99,3.61,1.79,2.08,2.62,6.85,0.83
10,10,10,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,2,138807,138807,121644,14582,2581,16,12584,4579,10,8813,8350,4,4196,12967,1,0,17163,0,4,0,0,0,0,0,0,0,0,45,26,45,26,0,0,0,0,8,50,11,20,0,---,?_??_??_?_??_??_?_???_??_??_?,1.38,1,0.2,2,1.78,1.98,2.76,5.88,0.88
11,11,11,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,2,123302,123302,56098,65882,1322,8,65527,1677,7,63798,3406,5,63798,3406,5,51173,16031,1,5,0,0,0,0,0,0,0,0,20,14,20,14,0,0,0,0,5,20,4,7,0,---,??_?_??_?,1,1.4,0.22,1.8,0.7,1.54,1.75,4.16,0.69
12,12,12,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,2,30779,30779,30774,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,2,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,25,4,8,0,---,??_??_??_?,1,1,0.06,1,0.71,0.42,0.81,3.9,0.68
13,13,13,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,1,248901,248901,27029,217934,3938,33,215387,6485,26,208642,13230,17,200389,21483,11,190160,31712,7,10,0,0,0,0,0,0,0,0,103,62,103,62,0,0,0,0,29,138,23,42,0,---,??_?_ANA008_?_??_?_?_??_?_??_?_?_??_?_??_?_?_??_?_???_??_????_?,1.72,2.55,1.85,3.21,2.25,2.55,3.2,6.88,0.8
14,14,14,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,3,196986,196986,164447,29758,2781,14,29421,3118,13,23629,8910,5,22402,10137,4,16422,16117,2,8,0,0,0,0,0,0,0,0,45,30,45,30,0,0,0,0,8,44,10,16,0,---,??_?_??_??_?_?_??_??_?_?,2.5,1.75,1.37,3,2.08,2.02,2.73,5.37,0.8
15,15,15,CREATIVE_A1,P01_T1,NA,en,zh,T,-1,1,P01,3,93593,93593,66484,23434,3675,16,21143,5966,10,16221,10888,3,16221,10888,3,8542,18567,1,5,0,0,0,0,0,0,0,0,48,35,48,35,0,0,0,0,9,40,9,14,0,---,?_?_??_?_?_??_??_??_?,1.22,1.22,1.28,1.33,2,2.46,3.08,5.52,0.8
1,1,1,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,56940,56940,52184,3146,1610,2,3146,1610,2,2391,2365,1,2391,2365,1,0,4756,0,0,0,0,0,0,0,0,0,0,21,21,21,21,0,0,0,0,1,13,2,4,0,---,??_??,2,1,0,2,1.12,3.7,3.7,3.39,0.92
2,2,2,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,54621,54621,33170,20822,629,3,20463,988,2,19762,1689,1,19762,1689,1,19762,1689,1,2,0,0,0,0,0,0,0,0,13,12,13,12,0,0,0,0,15,99,18,29,0,---,“_??_??_?_??_?_??_?_?_??_??_?_??_??_??_??_?_”,1.6,1.53,0.83,4,1.97,1.78,2.82,6.09,0.8
3,3,3,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,2,20718,20718,10166,10538,14,2,10538,14,2,10538,14,2,10538,14,2,5747,4805,1,4,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,4,22,6,22,0,---,__James_Buchanan_?_1975_?,1.5,1,0,2,0.73,1.59,1.62,4.15,0.73
4,4,4,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,72161,72161,34686,33725,3750,25,32126,5349,21,24305,13170,9,15331,22144,3,10690,26785,1,4,0,0,0,0,0,0,0,0,59,68,59,68,0,0,0,0,25,133,18,41,0,---,"?_??_??_??_??_?_?_,_Malika_Rydman_???_??_?_???_??_??_?_?",1.36,2.44,1.28,3.8,1.96,2.35,3.05,6.85,0.82
5,5,5,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,3,148284,148284,79615,64642,4027,18,64203,4466,17,62002,6667,14,53729,14940,8,38544,30125,4,5,0,0,0,0,0,0,0,0,52,73,52,73,0,0,0,0,12,67,10,20,0,---,?_??_???_?_??_????_?_?_???_?,1.08,1.5,0.87,2.08,1.8,1.83,2.78,5.75,0.79
